#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 01 04 13 56 999 99.0 99.0  2.14 13.33  5.85  61 9999.0 999.0  10.7 999.0 99.0 99.00
2022 01 04 14 26 999 99.0 99.0  2.17 10.53  6.04  55 9999.0 999.0  10.7 999.0 99.0 99.00
2022 01 04 14 56 999 99.0 99.0  2.17 14.29  6.02  65 9999.0 999.0  10.5 999.0 99.0 99.00
2022 01 04 15 26 999 99.0 99.0  2.19 13.33  6.18  59 9999.0 999.0  10.7 999.0 99.0 99.00
2022 01 04 15 56 999 99.0 99.0  2.23 10.53  6.39  69 9999.0 999.0  10.8 999.0 99.0 99.00
2022 01 04 16 26 999 99.0 99.0  1.99 13.33  5.95  68 9999.0 999.0  10.8 999.0 99.0 99.00
2022 01 04 16 56 999 99.0 99.0  2.03 14.29  6.28  66 9999.0 999.0  10.8 999.0 99.0 99.00
2022 01 04 17 26 999 99.0 99.0  2.01 13.33  6.74  65 9999.0 999.0  10.7 999.0 99.0 99.00
2022 01 04 17 56 999 99.0 99.0  1.81 13.33  6.70  69 9999.0 999.0  10.7 999.0 99.0 99.00
2022 01 04 18 26 999 99.0 99.0  1.96 13.33  6.87  62 9999.0 999.0  10.6 999.0 99.0 99.00
2022 01 04 18 56 999 99.0 99.0  1.88 12.50  6.95  75 9999.0 999.0  10.6 999.0 99.0 99.00
2022 01 04 19 26 999 99.0 99.0  1.80 13.33  7.29  49 9999.0 999.0  10.6 999.0 99.0 99.00
2022 01 04 19 56 999 99.0 99.0  1.73 12.50  7.32  58 9999.0 999.0  10.5 999.0 99.0 99.00
2022 01 04 20 26 999 99.0 99.0  1.76 12.50  7.34  72 9999.0 999.0  10.5 999.0 99.0 99.00
2022 01 04 20 56 999 99.0 99.0  1.75 13.33  7.17  66 9999.0 999.0  10.4 999.0 99.0 99.00
2022 01 04 21 26 999 99.0 99.0  1.76 12.50  7.60  65 9999.0 999.0  10.4 999.0 99.0 99.00
2022 01 04 21 56 999 99.0 99.0  1.57 12.50  7.00  64 9999.0 999.0  10.3 999.0 99.0 99.00
2022 01 04 22 26 999 99.0 99.0  1.74 13.33  7.43  64 9999.0 999.0  10.3 999.0 99.0 99.00
2022 01 04 22 56 999 99.0 99.0  1.74 11.76  7.27  61 9999.0 999.0  10.3 999.0 99.0 99.00
2022 01 04 23 26 999 99.0 99.0  1.73 12.50  7.34  76 9999.0 999.0  10.3 999.0 99.0 99.00
2022 01 04 23 56 999 99.0 99.0  1.68 13.33  7.14  62 9999.0 999.0  10.3 999.0 99.0 99.00
2022 01 05 00 26 999 99.0 99.0  1.74 12.50  7.39  57 9999.0 999.0  10.2 999.0 99.0 99.00
2022 01 05 00 56 999 99.0 99.0  1.75 12.50  7.52  59 9999.0 999.0  10.2 999.0 99.0 99.00
2022 01 05 01 26 999 99.0 99.0  1.68 15.38  7.69  75 9999.0 999.0  10.1 999.0 99.0 99.00
2022 01 05 01 56 999 99.0 99.0  1.60 12.50  7.39  62 9999.0 999.0  10.1 999.0 99.0 99.00
2022 01 05 02 26 999 99.0 99.0  1.52 12.50  7.30  64 9999.0 999.0  10.1 999.0 99.0 99.00
2022 01 05 02 56 999 99.0 99.0  1.53 12.50  7.55  58 9999.0 999.0  10.2 999.0 99.0 99.00
2022 01 05 03 26 999 99.0 99.0  1.46 11.76  7.29  69 9999.0 999.0  10.2 999.0 99.0 99.00
2022 01 05 03 56 999 99.0 99.0  1.40 14.29  7.32  73 9999.0 999.0  10.1 999.0 99.0 99.00
2022 01 05 04 26 999 99.0 99.0  1.49 12.50  7.47  72 9999.0 999.0  10.1 999.0 99.0 99.00
2022 01 05 04 56 999 99.0 99.0  1.42 11.76  7.09  71 9999.0 999.0  10.1 999.0 99.0 99.00
2022 01 05 05 26 999 99.0 99.0  1.42 13.33  7.42  66 9999.0 999.0  10.1 999.0 99.0 99.00
2022 01 05 05 56 999 99.0 99.0  1.38 13.33  7.08  73 9999.0 999.0  10.1 999.0 99.0 99.00
2022 01 05 06 26 999 99.0 99.0  1.43 13.33  7.05  65 9999.0 999.0  10.1 999.0 99.0 99.00
2022 01 05 06 56 999 99.0 99.0  1.47 13.33  6.95  68 9999.0 999.0   9.9 999.0 99.0 99.00
2022 01 05 07 26 999 99.0 99.0  1.45 12.50  6.58  69 9999.0 999.0  10.0 999.0 99.0 99.00
2022 01 05 07 56 999 99.0 99.0  1.46 11.76  6.46  76 9999.0 999.0   9.7 999.0 99.0 99.00
2022 01 05 08 26 999 99.0 99.0  1.62 12.50  7.06  66 9999.0 999.0   9.7 999.0 99.0 99.00
2022 01 05 08 56 999 99.0 99.0  1.53 12.50  6.82  68 9999.0 999.0   9.7 999.0 99.0 99.00
2022 01 05 09 26 999 99.0 99.0  1.56 13.33  6.70  73 9999.0 999.0   9.7 999.0 99.0 99.00
2022 01 05 09 56 999 99.0 99.0  1.63 11.76  6.74  72 9999.0 999.0   9.8 999.0 99.0 99.00
2022 01 05 10 26 999 99.0 99.0  1.60 12.50  6.35  71 9999.0 999.0   9.8 999.0 99.0 99.00
2022 01 05 10 56 999 99.0 99.0  1.68 11.11  6.10  62 9999.0 999.0   9.8 999.0 99.0 99.00
2022 01 05 11 26 999 99.0 99.0  1.83 13.33  7.03  66 9999.0 999.0   9.7 999.0 99.0 99.00
2022 01 05 11 56 999 99.0 99.0  1.73 12.50  6.70  66 9999.0 999.0   9.7 999.0 99.0 99.00
2022 01 05 12 26 999 99.0 99.0  1.66 12.50  7.27  73 9999.0 999.0   9.7 999.0 99.0 99.00
2022 01 05 12 56 999 99.0 99.0  1.61 12.50  7.42  66 9999.0 999.0   9.6 999.0 99.0 99.00
2022 01 05 13 26 999 99.0 99.0  1.53 12.50  7.48  57 9999.0 999.0   9.6 999.0 99.0 99.00
2022 01 05 13 56 999 99.0 99.0  1.52 12.50  7.50  59 9999.0 999.0   9.7 999.0 99.0 99.00
2022 01 05 14 26 999 99.0 99.0  1.66 12.50  8.12  72 9999.0 999.0   9.8 999.0 99.0 99.00
